original_story,reordered_story,reason
"Jack took Kelsey to a movie | He picked a scary movie so she would be scared | Jack was hoping Kelsey would cuddle next to him | Kelsey laughed through the whole movie at how bad it was | At the end of the night though, she gave him a kiss","Jack picked a scary movie so she would be scared | Jack took Kelsey to a movie | Kelsey laughed through the whole movie at how bad it was | Jack was hoping Kelsey would cuddle next to him | At the end of the night though, she gave him a kiss",not a permutation of any gold story
Fred tried out for the track team and got in line for the mile run | He is in great shape but couldn't finish the mile run | The coach noticed he was fast off the start but quickly lost steam | The coach asked Fred to get in line for the hundred meter dash | Fred one first place every time because it only lasts a few seconds,"Fred tried out for the track team and got in line for the mile run | Fred is in great shape but couldn't finish the mile run -> He is in great shape but couldn't finish the mile run | The coach noticed he was fast off the start but quickly lost steam | The coach asked Fred to get in line for the hundred meter dash | Fred one first place every time because it only lasts a few seconds 
He is in great shape but couldn't finish the mile run | becomes Fred 
Fred tried out for the track team and got in line for the mile run | He is in great shape but couldn't finish the mile run | The coach noticed he was fast off the start but quickly lost steam | The coach asked Fred to get in line for the hundred meter dash | Fred one first place every time because it only lasts a few seconds 
Fred tried out for the track team and got in line for the mile run | He is in great shape but couldn't finish the mile run | The coach noticed he was fast off the start but quickly lost steam | The coach asked Fred to get in line for the hundred meter dash | Fred one first place every time because it only lasts a few seconds",wrong sentence count
I smelled a foul odor in the order | I didn't know where it was coming from | I smelled my armpit | I realize I didn't put any deodorant on | I kept my arms close so no one will smell my odor,I didn't put any deodorant on | I smelled a foul odor | I smelled my armpit | I didn't know where it was coming from | I kept my arms close so no one will smell my odor,not a permutation of any gold story
Susie went to visit her grandmother | Her grandmother's birthday was a week ago | She brought her a present a present and a cake | She sang happy birthday to her | It was a nice visit,Susie went to visit her grandmother | She brought her a present and a cake | It was a nice visit | She sang happy birthday to her | Her grandmother's birthday was a week ago,not a permutation of any gold story
Dan wrote a poem for the first time | He was afraid no one would like it so he hid it | His mother found the poem | She thought it was beautiful | After than Dan always showed off his poetry,Dan wrote a poem for the first time | He was afraid no one would like it so he hid it | His mother found the poem | She thought it was beautiful | After that Dan always showed off his poetry,not a permutation of any gold story
Craig's doctor's' office parking lot was full | He hated to use the multi parking next door but he had no choice | Parking in parking garages always made him nervous | Craig lost control and his ended up dangling mid air | Craig called 911 with his cellphone and waited to be rescued,Craig's doctor's office parking lot was full | He hated to use the multi parking next door but he had no choice | Parking in parking garages always made him nervous | Craig lost control and his ended up dangling mid air | Craig called 911 with his cellphone and waited to be rescued,not a permutation of any gold story
Jane had a friend who had a crush on her | She didn't think anything of it at first | Eventually he started acting weird | Jane felt he became obsessed with her | She asked him to stop hanging out,Jane had a friend who had a crush on her | Jane didn't think anything of it at first | Jane felt he became obsessed with her | Eventually he started acting weird | She asked him to stop hanging out,not a permutation of any gold story
Zaddyfracks is a black cat | Zaddyfracks loves to go outside | When he went to the door it was raining | Zaddyfrack stood at the open door for hours | Finally the rain stopped and Zaddyfracks went outside,Zaddyfracks is a black cat | When he went to the door it was raining | Zaddyfracks stood at the open door for hours | Finally the rain stopped and Zaddyfracks went outside | Zaddyfracks loves to go outside,not a permutation of any gold story
"Daphne went to work like she did every day | Being a housekeeper, it's her job to clean room the rooms | Daphne organized her laundry cart before starting her day | When she made it to her first room, it looked like the guest had left | She was making  the bed when she saw a man's dead body under it","Daphne went to work like she did every day | Daphne organized her laundry cart before starting her day | Being a housekeeper, it's her job to clean the rooms | When she made it to her first room, it looked like the guest had left | She was making the bed when she saw a man's dead body under it",not a permutation of any gold story
"The parents began hating each other gradually throughout the Year's | They would try to hide the fights from the children, though | They loved the children but not one another anymore | The parents knew a divorce would be rough on the children | Both parents had grown up in broken homes","Both parents had grown up in broken homes | The parents loved the children but not one another anymore | The parents began hating each other gradually throughout the Year's | They would try to hide the fights from the children, though | The parents knew a divorce would be rough on the children",not a permutation of any gold story
"The couple was moving to Mexico | THey saw a casita online that they wanted to rent | When they arrived, it was much smaller than they expected | It was also very dirty | They were not prepared to live in this tiny house!","They saw a casita online that they wanted to rent | The couple was moving to Mexico | When they arrived, it was much smaller than they expected | It was also very dirty | They were not prepared to live in this tiny house!",not a permutation of any gold story
"We were very worried about our finances | We started doing everything we could to make money | We struggled to make ends meet | Somehow we managed to survive | We eventually caught up and started a savings,",We were very worried about our finances | We struggled to make ends meet | We started doing everything we could to make money | Somehow we managed to survive | We eventually caught up and started a savings,not a permutation of any gold story
I took my son to Europe | He said he wanted to go on a train | I agreed to take him on a train | I booked two tickets for a train from Spain to France | My son had a great time on the train!,He said he wanted to go on a train | I agreed to take him on a train | I booked two tickets for a train from Spain to France | I took my son to Europe | I took him on a train | My son had a great time on the train!,wrong sentence count
"Tom was grounded over the weekend | His friends were throwing a huge party | Tom decided to sneak out and go | He was caught and got into a lot of trouble | Tom had enough fun for it to have been worth it, though","His friends were throwing a huge party | Tom decided to sneak out and go | Tom was caught and got into a lot of trouble | Tom was grounded over the weekend | Tom had enough fun for it to have been worth it, though",not a permutation of any gold story
Phil was a scuba diver instructor | This last week he had a group of overweight tourists | One of the could barely breath just walking | He had too much trouble trying to swim | He felt bad but had to ask him to wait in the boat,Phil was a scuba diver instructor | This last week he had a group of overweight tourists | One of them could barely breath just walking | He had too much trouble trying to swim | He felt bad but had to ask him to wait in the boat,not a permutation of any gold story
Jessica was walking to her job | She was wearing heels | One of her heels got stuck in the crack of the sidewalk | Jessica broke her shoe on the sidewalk | She work heels less often after this,Jessica was wearing heels | Jessica was walking to her job | One of her heels got stuck in the crack of the sidewalk | Jessica broke her shoe on the sidewalk | She work heels less often after this,not a permutation of any gold story
"Leah found $20 on the ground | She looked around, but one one else was around | She shrugged and decided there was no way to find its owner | Leah pocketed the bill | Then she walked away, smiling at her good fortune!","Leah found $20 on the ground | She looked around, but no one else was around | She shrugged and decided there was no way to find its owner | Leah pocketed the bill | Then she walked away, smiling at her good fortune!",not a permutation of any gold story
I love Mexican food and I specifically love tacos | There was this taco stand right down the street from where I lived | I used to go there almost every night after work | Then one day it was gone and I wast told the man who would then died | I felt bad and now I have to find a new place to get tacos,There was this taco stand right down the street from where I lived | I love Mexican food and I specifically love tacos | I used to go there almost every night after work | Then one day it was gone and I was told the man who would then died | I felt bad and now I have to find a new place to get tacos,not a permutation of any gold story
Will like to play Jesse in Madden | He was already down four games | Will challenged him to a final game | Will practiced for days | He lost 45 to nothing,Will like to play Jesse in Madden | He was already down four games | Will practiced for days | He lost 45 to nothing,wrong sentence count
Liz was shaving for the beach | She accidentally cut herself | It was deeper than expected | Eventually Liz thought it was healed | When the salt water it she realized it wasn't,Liz was shaving for the beach | She accidentally cut herself | It was deeper than expected | Eventually Liz thought it was healed | When the salt water hit she realized it wasn't,not a permutation of any gold story
Lukas and Mary went to make sandwiched | They got the peanut butter out of the cupboard | They also grabbed the jelly | Then they realized they were out of bread | They decided to make soup instead,Lukas and Mary went to make sandwiches | Then they realized they were out of bread | They decided to make soup instead | They got the peanut butter out of the cupboard | They also grabbed the jelly,not a permutation of any gold story
"Alex was moving away to another state | For his last day, he decided to have a luncheon to celebrate | Only four of his friends showed up | The other five invites had to decline due to work obligations | Alex realized he had not thought his even though sufficiently","Alex was moving away to another state | Alex realized he had not thought his event though sufficiently | For his last day, he decided to have a luncheon to celebrate | The other five invites had to decline due to work obligations | Only four of his friends showed up",not a permutation of any gold story
"Yvette was about to get married, but she needed a dress | She went to the dress shop with her friends | She tried on many dresses, but her friends didn't approve | Finally, she put on the perfect dress | Her friends approved and the bought in on the spot!","Yvette was about to get married, but she needed a dress | She went to the dress shop with her friends | She tried on many dresses, but her friends didn't approve | Finally, she put on the perfect dress | Her friends approved and they bought it on the spot!",not a permutation of any gold story
"The teachers at Edison School had a constant problem with discipline | One day, the students started a food fight at the cafeteria | There was a big mess everywhere, so four teachers had to clean it up | The teachers decided the whole school would be suspended for a week | After the suspension, all the children learned to behave","One day, the students started a food fight at the cafeteria | There was a big mess everywhere, so four teachers had to clean it up | The teachers decided the whole school would be suspended for a week | After the suspension, all the children learned to behave",wrong sentence count
"Josh and Ryan were in in the backyard | They were digging around the water line | However, they hit the sewer line | They caused a huge mess | They're mess caused them to have to call the water department","Josh and Ryan were in the backyard | They were digging around the water line | However, they hit the sewer line | They caused a huge mess | They're mess caused them to have to call the water department",not a permutation of any gold story
"Turbo Terilli was an aspiring racecar driver | He never did come come in first | This ate at him, until he asked his cousin for advice | His cousin recommended being calm and collected on the track | So he did, and finally won a race","Turbo Terilli was an aspiring racecar driver | He never did come in first | This ate at him, until he asked his cousin for advice | His cousin recommended being calm and collected on the track | So he did, and finally won a race",not a permutation of any gold story
"Life was a constant struggle for Xiaofeng Xin | He plowed the fields and planted his crops, to no avail | When the floods came, it washed away everything | One day, Xiaofeng discovered gold on his property | Now he lives in a big mansion with his horde of concubines","Life was a constant struggle for Xiaofeng Xin | He plowed the fields and planted his crops, to no avail | One day, Xiaofeng Xin discovered gold on his property | When the floods came, it washed away everything | Now he lives in a big mansion with his horde of concubines",not a permutation of any gold story
"Gina had to carry her gallons of water in a plastic bag | She loaded each water in it's own bag | She was far too tired to carry them on one arm | So she split the bags between her two arms | Gina took a deep breath, and headed out into the snow storm","Gina loaded each water in it's own bag | She loaded each water in it's own bag was not needed, since it is mentioned she split the bags, so: Gina loaded each water in its own bag | So she split the bags between her two arms | Gina had to carry her gallons of water in a plastic bag | She was far too tired to carry them on one arm | Gina took a deep breath, and headed out into the snow storm",wrong sentence count
Tina liked Fred | She wanted to ask him out | When Tina and Fred saw each other she asked | Fred said no | Tina was crushed,Tina liked Fred | When Tina and Fred saw each other she asked | Fred said no | Tina was crushed,wrong sentence count
I wanted a simple bike for commuting | So I bought a cheap one one sale | But it didn't fit me properly | And it was uncomfortable to ride | I ended up returning it and buying something more expensive,I wanted a simple bike for commuting | So I bought a cheap one on sale | But it didn't fit me properly | And it was uncomfortable to ride | I ended up returning it and buying something more expensive,not a permutation of any gold story
"The 2nd grade class is going on a field trip today | They are going to the aquarium | The entire class is excited as they load up in the bus | When they entire the aquarium, all there mouths open | They are amazed by all the aquatic life","The 2nd grade class is going on a field trip today | The entire class is excited as they load up in the bus | They are going to the aquarium | When they enter the aquarium, all their mouths open | They are amazed by all the aquatic life",not a permutation of any gold story
"Johnny owed a lot of money to a very bad man | He was due to pay him back but didn't have enough money | He went to the casino to gamble in the hope to win | But he lost all he had | The next day, the the police found his body in the river","Johnny owed a lot of money to a very bad man | He was due to pay him back but didn't have enough money | He went to the casino to gamble in the hope to win | But he lost all he had | The next day, the police found his body in the river",not a permutation of any gold story
"Shane was holding his baby | He was throwing the baby in the air and holding him up high | Suddenly, the baby spit up | The spit up when everywhere, including down Shane's shirt | Shane put the baby down and cleaned both of them up","Shane was holding his baby | He was throwing the baby in the air and holding him up high | Suddenly, the baby spit up | The spit up went everywhere, including down Shane's shirt | Shane put the baby down and cleaned both of them up",not a permutation of any gold story
"Ben decided to do some yard work over the weekend | He spent a lot of time bending over to pull weeds | When he got up Monday morning, Ben was in severe pain | Ben's back hurt because of the strenuous yard work | Ben had to take the day off to help his back recover","Ben decided to do some yard work over the weekend | He spent a lot of time bending over to pull weeds | Ben's back hurt because of the strenuous yard work | When he got up Monday morning, Ben was in severe pain | He had to take the day off to help his back recover",not a permutation of any gold story
"Jill's birthday was Saturday | Her daughter wanted to surprise her, so she contacted all her friends | They all bought presents and showed up at the right time | Jill's daughter forgot to tell her she was having a party | So Jill didn't show up for her own birthday party","Jill's daughter wanted to surprise her, so she contacted all her friends | Jill's daughter forgot to tell her she was having a party | They all bought presents and showed up at the right time | Jill's birthday was Saturday | So Jill didn't show up for her own birthday party",not a permutation of any gold story
Imelda prided herself on being detail-oriented | She mentioned it in every interview | One day she woke up late for work and had to dress quickly | At work she was humiliated because she more non-matching socks | After that incident Imelda de-emphasized her detail-orientation,One day she woke up late for work and had to dress quickly | At work she was humiliated because she wore more non-matching socks | After that incident Imelda de-emphasized her detail-orientation | She mentioned it in every interview | Imelda prided herself on being detail-oriented,not a permutation of any gold story
Angie was in a bad marriage | She decided it was time to leave her husband | It was the hardest choice she ever made | The first few days was so rough | Angie finally figured out it was the best decision she made,She decided it was time to leave her husband | The first few days was so rough | It was the hardest choice she ever made | Angie finally figured out it was the best decision she made,wrong sentence count
Tom couldn't find his glasses | He tried looking everywhere | After a while he bent over and the fell to the floor | They had been on his head the entire time | Unfortunately they broke when the fell off,Tom couldn't find his glasses | He tried looking everywhere | After a while he bent over and the fell to the floor | Unfortunately they broke when they fell off | They had been on his head the entire time,not a permutation of any gold story
"He sent me a message when I joined Facebook | He asked if I was single or married | Knowing I was taken, he still asked to meet me | He even wanted to come to my house | I quickly refused his advances,","He sent me a message when I joined Facebook | He asked if I was single or married | Knowing I was taken, he still asked to meet me | He even wanted to come to my house | I quickly refused his advances",not a permutation of any gold story
Melvin loved buying things online | The excitement of shopping met the convenience of his home | Melvin started buying more and more neat thing on the web | He went over his monthly budget for two months straight | Melvin ended up blocking his favorite online shops for a while,Melvin loved buying things online | The excitement of shopping met the convenience of his home | Melvin started buying more and more neat things on the web | He went over his monthly budget for two months straight | Melvin ended up blocking his favorite online shops for a while,not a permutation of any gold story
John was hitting on a girl at the bar | He asked her for her number | She gave it to him | The next day john called to be disappointed | She gave him a wrong number,John was hitting on a girl at the bar | He asked her for her number | She gave him a wrong number | The next day john called to be disappointed,wrong sentence count
Sam went to the doctor for a check up | It was discovered that she had a medical condition | It was caught early and a simply surgery could solve the problem | Sam was nervous as the doctor prepared him for the surgery | Same woke up in the recovery room feeling happy it was over,Sam went to the doctor for a check up | It was discovered that she had a medical condition | It was caught early and a simply surgery could solve the problem | Sam was nervous as the doctor prepared him for the surgery | Sam woke up in the recovery room feeling happy it was over,not a permutation of any gold story
"Gina had been joking with a man at a restaurant | Then she found out he was the manager | She worried the joking may have been too familiar | But she decided to remain friendly and hope for the best | He seemed to be receptive to he jokes, so she continued","Gina had been joking with a man at a restaurant | He seemed to be receptive to her jokes, so she continued | But she decided to remain friendly and hope for the best | She worried the joking may have been too familiar | Then she found out he was the manager",not a permutation of any gold story
A deli owner had his employees wear funny hats one day | A cowboy wearing a cowboy hat can into the store | One of the employees remarked that the cowboy had a funny hat | The cowboy was not amused and yelled at the employee | The cowboy threw his hat on the ground and left in a huff,A deli owner had his employees wear funny hats one day | A cowboy wearing a cowboy hat came into the store | One of the employees remarked that the cowboy had a funny hat | The cowboy was not amused and yelled at the employee | The cowboy threw his hat on the ground and left in a huff,not a permutation of any gold story
Anne wanted a career change | She decided to drive a semi truck | SHe was gone for a whole month | She decided the job was not for her | She quit that day,Anne wanted a career change | She decided to drive a semi truck | She was gone for a whole month | She decided the job was not for her | She quit that day,not a permutation of any gold story
Angel received a very large homework assignment due in a week | She didn���t work on it the first six days | On the last day she read through the requirements | She realized that she needed to go to the library and it wasn't open | She received no grade as she wasn't able to complete the task,Angel received a very large homework assignment due in a week | She didn’t work on it the first six days | On the last day she read through the requirements | She realized that she needed to go to the library and it wasn't open | She received no grade as she wasn't able to complete the task,not a permutation of any gold story
"The school group went to a pizza restaurant | They all ordered the pepperoni | That night, they all got very sick | They couldn't travel back to the school that day | THey all swore never to eat at that restaurant again!","The school group went to a pizza restaurant | They all ordered the pepperoni | They couldn't travel back to the school that day | That night, they all got very sick | They all swore never to eat at that restaurant again!",not a permutation of any gold story
Tom wanted to play football in high school | Tom had very long hair | During a game an opponent grabbed his hair | Tom realized he needed to cut his hair.l | Tom cut his hair,Tom had very long hair | Tom wanted to play football in high school | During a game an opponent grabbed his hair | Tom realized he needed to cut his hair | Tom cut his hair,not a permutation of any gold story
I've wanted a beard since before I can remember | I have one problem though | I can't grow facial hair | So I let a pregnant lady shave my face because of the superstition | Only change in my life is that I've been shaved by a pregnant lady,I've wanted a beard since before I can remember | I have one problem though | I've been trying and found that I | I can't grow facial hair | So I let a pregnant lady shave my face because of the superstition | Only change in my life is that I've been shaved by a pregnant lady,wrong sentence count
Yuri shoved his boat from the dock | He turned the wheel to steer the boat into the bay | Later a the weather began to turn for the worse | A large wave tossed the small boat onto the rocks | Yuri watched from life raft as the boat dipped beneath the water,"Yuri shoved his boat from the dock | He turned the wheel to steer the boat into the bay | A large wave tossed the small boat onto the rocks | He turned is not in the correct order, it should be after the boat has been tossed and Yuri is now in a life raft, so: Yuri shoved his boat from the dock | He turned the wheel to steer the boat into the bay | A large wave tossed the small boat onto the rocks | Later a the weather began to turn for the worse | Yuri watched from life raft as the boat dipped beneath the water",wrong sentence count
"My doctor told me to take my pills before sleeping tonight | When I came home, I started co complete my homework | Since it took a while, I wasn't focusing on anything else | I ended up sleeping without taking my pills | I woke up feeling nauseous","I woke up feeling nauseous | When I came home, I started to complete my homework | Since it took a while, I wasn't focusing on anything else | My doctor told me to take my pills before sleeping tonight | I ended up sleeping without taking my pills",not a permutation of any gold story
"Pam was playing volleyball at a work picnic | She had played in high school, so she was doing well | She dove for the ball, but landed on her knee funny | It hurt quite badly, so she decided to go to the doctor | Pam had dislocated her knee","Pam had played in high school, so she was doing well | Pam was playing volleyball at a work picnic | She dove for the ball, but landed on her knee funny | Pam had dislocated her knee | It hurt quite badly, so she decided to go to the doctor",not a permutation of any gold story
"Three kids built a fort out of couch cushions | They played in it for hours | Eventually, their dad came and told them it was a zoning violation | He made them put the couch back together so he could watch football | The kids got the last laugh, though��they hid the remote","Three kids built a fort out of couch cushions | They played in it for hours | Eventually, their dad came and told them it was a zoning violation | He made them put the couch back together so he could watch football | The kids got the last laugh, though—they hid the remote",not a permutation of any gold story
Betty was forced to play a tree | It was for her school play | She wanted the lead part | Betty made funny faces every time the lead would speak | The theater director punished Betty with bathroom cleaning duties,It was for her school play | Betty wanted the lead part | Betty made funny faces every time the lead would speak | Betty was forced to play a tree | The theater director punished Betty with bathroom cleaning duties,not a permutation of any gold story
Alice had a bad cough at school | She would cough so much is would interrupt class | She was asked if she wants a cough drop | She said yes and put it in her mouth | They had to call 911 because she choked on the cough drop,Alice had a bad cough at school | She would cough so much it would interrupt class | She was asked if she wants a cough drop | She said yes and put it in her mouth | They had to call 911 because she choked on the cough drop,not a permutation of any gold story
"Paul was the best basketball player on his high school team | But if his team was losing, he assumed someone else was at fault | One game, the referee accused Paul of foul play | Paul attacked the referee | Paul was never allowed to play on his school team again/","Paul was the best basketball player on his high school team | One game, the referee accused Paul of foul play | Paul attacked the referee | But if his team was losing, he assumed someone else was at fault | Paul was never allowed to play on his school team again",not a permutation of any gold story
"I wanted to volunteer | I decided to volunteer at the soup kitchen | They made me hand out bread | I hated it | But, I realized that I got to make a difference in people's lives","I decided to volunteer at the soup kitchen | They made me hand out bread | I hated it | But, I realized that I got to make a difference in people's lives",wrong sentence count
Jake will be seeing a scary movie tonight | He is frightened very easily | He wouldn't have agreed to go but his crush will be at the theater | He is afraid of screaming in front of her | He hopes his crush will comfort him,He is frightened very easily | He has a crush on someone | He wouldn't have agreed to go but his crush will be at the theater | Jake will be seeing a scary movie tonight | He is afraid of screaming in front of her | He hopes his crush will comfort him,wrong sentence count
The girl fell down a well | Her parents started looking for here | They found her by her voice | A man came down with a ladder | The girl was rescued,The girl fell down a well | Her parents started looking for her | They found her by her voice | The girl was rescued | A man came down with a ladder,not a permutation of any gold story
Tom was short | A lot of girls turned him down because of it | Tom decided to move to an Asian country | There he seemed taller by comparison | It was much easier for Tom to find  a mater,Tom was short | A lot of girls turned him down because of it | Tom decided to move to an Asian country | It was much easier for Tom to find  a mate | There he seemed taller by comparison,not a permutation of any gold story
"Sam was riding the bus one day | An older man got on and sat next to her | He started to press again Sam uncomfortably | Sam was very upset, so she pulled the stop cord | She got off the bus as quickly as possible","Sam was riding the bus one day | An older man got on and sat next to her | He started to press against Sam uncomfortably | She got off the bus as quickly as possible | Sam was very upset, so she pulled the stop cord",not a permutation of any gold story
Charles saved money for years so he could buy a car | He went to a used car lot and asked about a sedan | Charles used his savings for a down payment | He got into his new car and sped away | He turned on the radio and did eighty miles per hour on the freeway,Charles saved money for years so he could buy a car | Charles went to a used car lot and asked about a sedan | Charles used his savings for a down payment | He got into his new car and sped away | He turned on the radio and did eighty miles per hour on the freeway,not a permutation of any gold story
Chad played his flute in the talent show | He wanted first prize since that was a big trophy | But then they announced that he'd won second place | Chad saw that second prize was a shiny medal | He decided he was okay with second place after all!,Chad wanted first prize since that was a big trophy | Chad played his flute in the talent show | Chad saw that second prize was a shiny medal | But then they announced that he'd won second place | He decided he was okay with second place after all!,not a permutation of any gold story
"Warren stumbled into the ladies' room | He was wearing high-heeled shoes and a platinum wig | The purple dress he was also wearing didn't suit him | Moments later, a suited, suave looking Warran exited the bathroom | Warren made sure no one had noticed, and continued with his spying","Warren stumbled into the ladies' room | He was wearing high-heeled shoes and a platinum wig | The purple dress he was also wearing didn't suit him | Warren made sure no one had noticed, and continued with his spying | Moments later, a suited, suave looking Warren exited the bathroom",not a permutation of any gold story
Andy always fed his cat human food | His friends would tell him this was bad for the cat | Andy refused to listen to his friends until his cat go sick | He worried for his cat and was foolish for doing it | Now Andy only feeds his cat high quality cat food,His friends would tell him this was bad for the cat | Andy always fed his cat human food | Andy refused to listen to his friends until his cat got sick | He worried for his cat and was foolish for doing it | Now Andy only feeds his cat high quality cat food,not a permutation of any gold story
The Larsen family adopted a cat | Once they brought the cat home he would not eat | They tried all different types of cat food | The family started pouring gravy on the cat's food | The cat would now eat his cat food,The Larsen family adopted a cat | They brought the cat home he would not eat | They tried all different types of cat food | The cat would now eat his cat food | The family started pouring gravy on the cat's food,not a permutation of any gold story
Manny was driving down the street one night | He was very tired from working all day | Manny fell asleep for just a second while he was driving | When he woke up he was in the hospital and very confused | He found out that when he fell asleep he crashed his car,Manny was driving down the street one night | Manny fell asleep for just a second while he was driving | He crashed his car | He was very tired from working all day | When he woke up he was in the hospital and very confused | He found out that when he fell asleep he crashed his car,wrong sentence count
Dakota was a senior in high school with mediocre grades | Dakota filled out an application to his local college | He waited for a letter of reply from the college | One day he went to the mailbox and found a thin envelope | He opened the envelope and was disappointed he hadn���t been accepted,Dakota was a senior in high school with mediocre grades | Dakota filled out an application to his local college | He waited for a letter of reply from the college | One day he went to the mailbox and found a thin envelope | He opened the envelope and was disappointed he hadn’t been accepted,not a permutation of any gold story
Tim lost his job | He was kicked out of his apartment | He had to put all his things in storage | Unfortunately without a job he couldn't keep making payments | Tim eventually lost his things to the storage company,Tim lost his job | He couldn't keep making payments | He was kicked out of his apartment | He had to put all his things in storage | Tim eventually lost his things to the storage company,not a permutation of any gold story
Fletcher had a deadline to complete a short story | Fletcher was all out of ideas though | He had written many short stories and there was nothing else to write | Fletcher could not come up with anything new | The deadline passed and Fletcher was not able to submit a story,Fletcher had written many short stories and there was nothing else to write | Fletcher had a deadline to complete a short story | Fletcher was all out of ideas though | Fletcher could not come up with anything new | The deadline passed and Fletcher was not able to submit a story,not a permutation of any gold story
Jared was a terrible basketball player | He only played a couple minutes per game usually | In one game the star player was injured and Jared had to fill in | Jared had the ball when when his team was about to lose the game | Jared shot the ball and it went in making him the hero of the game,Jared was a terrible basketball player | He only played a couple minutes per game usually | In one game the star player was injured and Jared had to fill in | Jared had the ball when his team was about to lose the game | Jared shot the ball and it went in making him the hero of the game,not a permutation of any gold story
Emma needed a new dress | She was going to a fancy party | Emma looked at several stores for a formal dress | She tried on dresses in blue and maroon and silver | She finally chose a beautiful silver dress for the party,Emma was going to a fancy party | Emma looked at several stores for a formal dress | Emma needed a new dress | She tried on dresses in blue and maroon and silver | She finally chose a beautiful silver dress for the party,not a permutation of any gold story
"Fred began dating a woman that seemed fun and outgoing | After a year, she got pregnant and they planned were excited | Soon, Fred found out she made most of her income from child support | Turns out, fun and outgoing was really an addiction to partying | Fred wishes he had known this before it was too late, but didn't","Fred began dating a woman that seemed fun and outing | Turns out, fun and outgoing was really an addiction to partying | After a year, she got pregnant and they planned were excited | Soon, Fred found out she made most of her income from child support | Fred wishes he had known this before it was too late, but didn't",not a permutation of any gold story
Fridays are date night for the Smiths | They have been married 24 years | They have 4 children and are all grown | On date night they usually go to dinner and a movie | Sometimes the even go out and meet friends for drinks,They have been married 24 years | They have 4 children and are all grown | Fridays are date night for the Smiths | On date night they usually go to dinner and a movie | Sometimes they even go out and meet friends for drinks,not a permutation of any gold story
One day at work Darren's co-worker fainted | He didn't know what to do | He called for help | An ambulance arrived | They were able to take care of her!,Darren's co-worker fainted | He didn't know what to do | He called for help | An ambulance arrived | They were able to take care of her!,not a permutation of any gold story
"Todd's dog had long claws | The scratched up the wood floors and the furniture | Todd decided to clip them | THe dog thrashed around and tried to get away | Todd ended up being scratched, too","Todd's dog had long claws | The dog thrashed around and tried to get away | Todd decided to clip them | The scratched up the wood floors and the furniture | Todd ended up being scratched, too",not a permutation of any gold story
Nick was trying to buy a house | He lived with a roommate that he couldn't trust | His stuff always ended up missing from his bedroom | He knew it had to be Nick so he decided he would move out | He found a place and moved out as fast as he could,Nick was trying to buy a house | He lived with a roommate that he couldn't trust | His stuff always ended up missing from his bedroom | He knew it had to be his roommate so he decided he would move out | He found a place and moved out as fast as he could,not a permutation of any gold story
Liz knew her parents wanted a puppy | She had a friend who wanted to sell his new puppy | Liz texted her siblings asking for help purchasing the puppy | Some of her siblings were not wanting to help | Liz felt hurt by their responses,Liz had a friend who wanted to sell his new puppy | Liz texted her siblings asking for help purchasing the puppy | Some of her siblings were not wanting to help | Liz knew her parents wanted a puppy | Liz felt hurt by their responses,not a permutation of any gold story
Susie was very upset | She couldn't clear her mind | So she went on youtube | She put on mediation music | She then started to feel better,Susie was very upset | So she went on youtube | She put on meditation music | She couldn't clear her mind | She then started to feel better,not a permutation of any gold story
"Armand watched a movie version of the book he had to read for class | But as he was sleepy, he feel asleep while watching it | The next day, in class, his teacher asked him about the book | Armand had no idea what to say | He pretended he had to pee so he could avoid more questions","Armand watched a movie version of the book he had to read for class | But as he was sleepy, he fell asleep while watching it | The next day, in class, his teacher asked him about the book | Armand had no idea what to say | He pretended he had to pee so he could avoid more questions",not a permutation of any gold story
My boss was very mad at me | He yelled at me for being late for work | I explained that I was usually caught in traffic | He told me if I was late again I would be fired | I decided to leave really early to get to work on time,I decided to leave really early to get to work on time | I was usually caught in traffic | He yelled at me for being late for work | He told me if I was late again I would be fired | I explained that I was usually caught in traffic | My boss was very mad at me,wrong sentence count
"Annie loved to eat healthily | Her favourite food was fruit | Unfortunately, she started to feel ill after eating apples | The same as true for her other favourite fruit, bananas | To her dismay, Annie had developed an intolerance to fruit","Her favourite food was fruit | Annie loved to eat healthily | To her dismay, Annie had developed an intolerance to fruit | Unfortunately, she started to feel ill after eating apples | The same was true for her other favourite fruit, bananas",not a permutation of any gold story
"My sister in law is very frugal | At barbeques, everyone is given only one hot dog or hamburger | Sunday she came by to visit | She brought apples for or family of five | There were exactly five apples in the bag","Sunday she came by to visit | My sister in law is very frugal | She brought apples for our family of five | There were exactly five apples in the bag | At barbeques, everyone is given only one hot dog or hamburger",not a permutation of any gold story
I used to hate the color yellow | It reminded me of sticky notes | One day I saw a yellow car | It was very nice | Now I love the color yellow because of the hot girl in the car!,I used to hate the color yellow | One day I saw a yellow car | It was very nice | Now I love the color yellow because of the hot girl in the car | It reminded me of sticky notes,not a permutation of any gold story
Katie was really bad at math | One day she asked her best friend Tom to tutor her | She practiced everyday and grew to love math | She earned all A's | She got better grades than Tom and tutored him the next yea,Katie was really bad at math | One day she asked her best friend Tom to tutor her | She practiced everyday and grew to love math | She earned all A's | She got better grades than Tom and tutored him the next year,not a permutation of any gold story
"Sam had practiced hard all season | The big championship meet was coming up | He took a deep breath and face his opponent | After a close match, Sam came out victorious | He shouted with joy","Sam had practiced hard all season | The big championship meet was coming up | He took a deep breath and faced his opponent | After a close match, Sam came out victorious | He shouted with joy",not a permutation of any gold story
